Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Griffin Canning","LAA",6,3,0,13,13,71.1,8.957944084915162,2.6495327575101184,1.5140187185772105,0.26595744680851063,0.74074074,0.46464646,0.16666667,94.5574742609532,4.28971970263543,,4.502703933139402,3.9845916755542814,0.8836560312331463,"Griffin Canning",19867,656288
"Matthew Boyd","DET",5,5,0,15,15,71,9.25352163170333,3.169014257432648,1.394366273270365,0.3020833333333333,0.62034739,0.3880597,0.12643678,91.64313000704335,5.450704522784154,,4.353631968740388,4.365485527044397,0.8692859986585663,"Matthew Boyd",15440,571510
"Zack Greinke","KCR",1,8,0,17,17,87.1,6.286259770803225,1.3396947052531463,1.5458015829843996,0.3090909090909091,0.67021277,0.43205575,0.14150943,89.61135749816894,5.152671943281332,,4.606185446846397,4.380100926235817,0.8553554123210282,"Zack Greinke",1943,425844
"Tyler Wells","BAL",6,4,0,15,15,87.2,9.547528794075529,2.05323199872592,1.9505703987896241,0.20574162679425836,0.85106383,0.31858407,0.15447154,92.6697606765835,3.3878327978977683,,4.669489069730482,4.1717202233803645,0.8429641352848963,"Tyler Wells",20000,669330
"Tony Gonsolin","LAD",4,2,0,11,11,57.1,7.220930512819255,3.453488506130948,0.9418605016720767,0.1962025316455696,0.70143885,0.37423313,0.08571429,92.33005689538044,3.2965117558522685,,4.423645056016129,5.081807106732586,0.8159774614621581,"Tony Gonsolin",19388,664062
"Freddy Peralta","MIL",5,7,0,16,16,86.2,10.073077107816056,3.634615451273835,1.5576923362602149,0.2850678733031674,0.6875,0.39224138,0.15789474,94.52527882793161,4.673077008780645,,4.616578846005999,4.17890672211677,0.7902016132172813,"Freddy Peralta",18679,642547
"Paul Blackburn","OAK",1,0,0,6,6,31,10.161290635179416,2.322580716612438,0.8709677687296642,0.35555555555555557,0.75980392,0.38709677,0.08571429,91.90960978570385,3.7741936644952117,,3.222782293988564,3.83140526072025,0.7595539908073285,"Paul Blackburn",14739,621112
"Mike Clevinger","CHW",3,4,0,12,12,62.2,7.611702320720346,3.734042647900547,1.2925532242732662,0.27472527472527475,0.81151832,0.30526316,0.09473684,94.40571389269473,3.877659672819799,,4.866742528035341,5.5061321712514655,0.7531558295366727,"Mike Clevinger",12808,605182
"Colin Rea","MIL",4,4,0,13,13,68.1,7.507317317642682,2.897561069967351,1.3170732136215233,0.2513089005235602,0.69565217,0.45226131,0.13333333,93.13156305210224,4.478048926313179,,4.586747719936611,4.498963056779298,0.7531103802707605,"Colin Rea",12317,607067
"Chris Bassitt","TOR",8,5,0,17,17,99.2,8.397993525323097,3.1605351977022407,1.444816090378167,0.2546816479400749,0.71969697,0.41637011,0.14678899,92.62794222150531,4.063545254188595,,4.800190900595943,4.5214150524849,0.752277786311016,"Chris Bassitt",12304,605135
"Edward Cabrera","MIA",5,5,0,14,14,67,11.283582410772022,5.507462843353011,1.2089552582970025,0.2857142857142857,0.73459716,0.53703704,0.17307692,96.19911345487796,4.701492671155009,,4.4639956177940725,4.000925324095113,0.7445354890316842,"Edward Cabrera",21690,665795
"Jeffrey Springs","TBR",2,0,0,3,3,16,13.5,2.25,0.5625,0.11538461538461539,1,0.5,0.11111111,92.08431570870536,0.5625,,1.8175403594970705,1.9350507210940124,0.7177779610383829,"Jeffrey Springs",17677,605488
