Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Kyle Nelson","ARI",7,4,0,68,2,56,10.767861177119968,2.250000842980292,1.9285721511259646,0.32413793103448274,0.76923077,0.37086093,0.1875,92.05480249377264,4.178572994106257,3.87,4.451469379177067,3.555299619363099,0.24545588344335556,"Kyle Nelson",20515,669459
"Drew Carlton","SDP",2,1,0,11,0,20.2,7.8387106420099375,2.6129035473366455,0.8709678491122153,0.27586206896551724,0.58558559,0.43859649,0.1,92.306787109375,4.3548392455610765,4.42,3.7872984895100914,4.129251841863384,0.2439245581626892,"Drew Carlton",19868,656290
"Beau Brieske","DET",2,3,2,25,1,35,7.971429440245431,3.0857146220304896,1.0285715406768299,0.3047619047619048,0.80188679,0.42592593,0.1025641,96.67608741021925,3.6000003923689046,3.85,3.997897583319226,4.35448957658623,0.2427561730146408,"Beau Brieske",26079,689225
"Germán Márquez","COL",2,2,0,4,4,20,7.65,1.35,1.8,0.26785714285714285,0.67073171,0.48275862,0.22222222,95.90068454186893,4.95,4.93,4.605040359497071,3.4930569380521774,0.24250809848308563,"German Marquez",15038,608566
"Zach Plesac","CLE",1,1,0,5,5,21.1,5.9062503520399545,2.109375125728555,1.265625075437133,0.40963855421686746,0.58201058,0.51190476,0.125,91.44182477678571,7.593750452622798,5.41,4.473790432140236,4.505686157235253,0.24181902408599854,"Zach Plesac",19979,668676
"Peter Lambert","COL",3,7,0,25,11,87.1,7.316794319257332,2.8854963512564127,1.8549619400934083,0.2964426877470356,0.71428571,0.41697417,0.15789474,93.37310724980681,5.358778938047624,5.41,5.442063387631891,4.920866028464335,0.23433247208595276,"Peter Lambert",17969,663567
"Shintaro Fujinami","- - -",7,8,2,64,7,79,9.455698028892426,5.126583268676616,1.0253166537353233,0.3004694835680751,0.53380783,0.4009009,0.09782609,98.53345466382575,7.177216576147263,4.8,4.60947100085114,5.053880724200066,0.23172060400247574,"Shintaro Fujinami",31839,660261
"Tayler Saucedo","SEA",3,2,1,52,0,47.2,8.118882851528962,4.3426582694224685,0.37762245821064944,0.2932330827067669,0.74404762,0.58461538,0.08,93.00294404871323,3.58741335300117,4.21,3.821474046813045,4.143162098305346,0.22702661156654358,"Tayler Saucedo",17888,642048
"Michael Kelly","CLE",1,0,0,14,0,16.2,8.640001318359577,4.860000741577261,0,0.2826086956521739,0.63636364,0.41304348,0,95.0973252118644,3.7800005767823146,3.79,2.9550403137206964,4.542258239703045,0.2270183563232422,"Michael Kelly",12791,547184
"José Quijada","LAA",0,1,4,10,0,9,8.000000847710593,3.0000003178914727,0,0.2857142857142857,0.46153846,0.39285714,0,94.50394933363971,6.000000635782945,5.77,3.143929236612201,5.164692705567926,0.21948444843292236,"Jose Quijada",19200,650671
"Triston McKenzie","CLE",0,3,0,4,4,16,9.000000536441835,7.312500435858991,0.5625000335276147,0.2558139534883721,0.6779661,0.34090909,0.04347826,92.47017886513157,5.062500301748532,4.8,4.505040434002881,6.06923367353936,0.21930181980133057,"Triston McKenzie",18000,663474
"Chase Anderson","- - -",1,6,1,19,17,86.1,6.671815064879609,3.4401546428285483,1.7722008766086461,0.2908366533864542,0.72504708,0.36226415,0.14912281,93.40050460419668,5.420849740214682,5,5.722221972030676,5.3455667369095865,0.21378020197153091,"Chase Anderson",6895,502624
"Jacob Lopez","TBR",1,0,1,4,1,12.1,5.837837988308004,1.459459497077001,0,0.3333333333333333,0.61111111,0.35714286,0,90.88897026909723,4.378378491231003,5.48,2.930716026813293,4.539382639687572,0.2100149691104889,"Jacob Lopez",25098,682052
"Chase Silseth","LAA",4,1,0,16,8,52.1,9.6305733069072,4.471337606778343,1.547770710038657,0.25,0.76241135,0.48905109,0.225,94.9633544921875,3.955414036765457,4.42,4.955677312502509,3.983716863757799,0.2085976004600525,"Chase Silseth",30074,681217
"Tyler Gilbert","ARI",0,2,0,11,0,17.1,9.865386424685703,2.5961543222857113,1.0384617289142846,0.41304347826086957,0.68965517,0.42553191,0.16666667,92.56319640112704,5.192308644571423,6.08,3.428117314316118,3.072745386491377,0.20778878033161163,"Tyler Gilbert",17964,656457
"Keaton Winn","SFG",1,3,1,9,5,42.1,7.440945105393331,1.7007874526613327,1.2755905894959996,0.2542372881355932,0.66502463,0.57983193,0.17142857,95.98293279180463,4.677165494818665,4.27,4.365276613317663,3.8897012774955098,0.20330411195755005,"Keaton Winn",23499,676775
